OCCURRENCE_ID,SOURCE_TYPE,LOCATION_TYPE,ADMIN_LEVEL,Y,X,YEAR,COUNTRY,DISEASE
7121,Literature,polygon,1,40.28,20.32,2000,Albania,Visceral
7329,Literature,polygon,1,39.88,19.9964,2004,Albania,Visceral
6893,Literature,polygon,1,40.1306,20.1567,2002,Albania,Visceral
6941,Literature,polygon,1,41.1518,20.4096,2005,Albania,Visceral
6895,Literature,polygon,1,40.1306,20.1567,2004,Albania,Visceral
7608,Literature,polygon,1,40.5409,19.7997,2004,Albania,Visceral
6537,Literature,polygon,1,40.689,20.5545,2002,Albania,Visceral
6943,Literature,polygon,1,41.1518,20.4096,2007,Albania,Visceral
6944,Literature,polygon,1,41.1518,20.4096,2008,Albania,Visceral
7353,Literature,polygon,1,41.4942,20.2201,2008,Albania,Visceral
7594,Literature,polygon,1,40.55,19.76,1997,Albania,Visceral
6963,Literature,polygon,1,42.4012,20.021,2007,Albania,Visceral
7359,Literature,polygon,1,40.94,20.61,2001,Albania,Visceral
7391,Literature,polygon,1,40.92,19.63,2000,Albania,Visceral
6958,Literature,polygon,1,42.4012,20.021,2002,Albania,Visceral
7392,Literature,polygon,1,40.92,19.63,2001,Albania,Visceral
7455,Literature,polygon,1,41.8,19.66,2000,Albania,Visceral
4047,CNR-L,point,-999,41.3313,19.8317,2000,Albania,Visceral
7144,Literature,polygon,1,40.6869,20.0441,1996,Albania,Visceral
7150,Literature,polygon,1,40.6869,20.0441,2002,Albania,Visceral
7565,Literature,polygon,1,42.19,20.37,2001,Albania,Visceral
7620,Literature,polygon,1,39.9408,20.0966,1996,Albania,Visceral
6669,Literature,polygon,1,40.35,19.58,1999,Albania,Visceral
7279,Literature,polygon,1,40.8471,20.2528,2002,Albania,Visceral
7805,Literature,polygon,1,40.82,19.89,2001,Albania,Visceral
6830,Literature,polygon,1,41.0504,20.1041,2008,Albania,Visceral
7360,Literature,polygon,1,40.9374,20.5813,1995,Albania,Visceral
7204,Literature,polygon,1,41.5754,20.0237,1996,Albania,Visceral
6760,Literature,polygon,1,42.0789,19.5343,2005,Albania,Visceral
6922,Literature,polygon,1,42.4022,19.6035,2006,Albania,Visceral
7753,Literature,polygon,1,41.041,19.8562,1996,Albania,Visceral
7265,Literature,polygon,1,40.793,19.5222,2008,Albania,Visceral
7541,Literature,polygon,1,41.41,19.52,1997,Albania,Visceral
7318,Literature,polygon,1,39.9,19.96,2000,Albania,Visceral
7171,Literature,polygon,1,41.7959,19.9837,2003,Albania,Visceral
7131,Literature,polygon,1,40.3005,20.3572,2003,Albania,Visceral
7626,Literature,polygon,1,39.9408,20.0966,2002,Albania,Visceral
6960,Literature,polygon,1,42.4012,20.021,2004,Albania,Visceral
6962,Literature,polygon,1,42.4012,20.021,2006,Albania,Visceral
6831,Literature,polygon,1,41.0504,20.1041,2009,Albania,Visceral
7328,Literature,polygon,1,39.88,19.9964,2003,Albania,Visceral
6886,Literature,polygon,1,40.1306,20.1567,1995,Albania,Visceral
7178,Literature,polygon,1,40.3172,20.6335,1995,Albania,Visceral
6529,Literature,polygon,1,40.68,20.63,2001,Albania,Visceral
7333,Literature,polygon,1,39.88,19.9964,2008,Albania,Visceral
7491,Literature,polygon,1,40.6452,20.9549,2003,Albania,Visceral
7076,Literature,polygon,1,42,20.37,1999,Albania,Visceral
7492,Literature,polygon,1,40.6452,20.9549,2004,Albania,Visceral
7619,Literature,polygon,1,39.9408,20.0966,1995,Albania,Visceral
7372,Literature,polygon,1,40.9374,20.5813,2007,Albania,Visceral
7804,Literature,polygon,1,40.82,19.89,2000,Albania,Visceral
7543,Literature,polygon,1,41.41,19.52,1999,Albania,Visceral
7467,Literature,polygon,1,41.7877,19.6461,2005,Albania,Visceral
7632,Literature,polygon,1,39.9408,20.0966,2008,Albania,Visceral
7088,Literature,polygon,1,42.0289,20.4172,2004,Albania,Visceral
7453,Literature,polygon,1,41.8,19.66,1998,Albania,Visceral
7093,Literature,polygon,1,42.0289,20.4172,2009,Albania,Visceral
7143,Literature,polygon,1,40.6869,20.0441,1995,Albania,Visceral
6746,Literature,polygon,1,42.16,19.61,1998,Albania,Visceral
7566,Literature,polygon,1,42.2133,20.3739,1995,Albania,Visceral
7370,Literature,polygon,1,40.9374,20.5813,2005,Albania,Visceral
7215,Literature,polygon,1,41.5754,20.0237,2007,Albania,Visceral
7280,Literature,polygon,1,40.8471,20.2528,2003,Albania,Visceral
7762,Literature,polygon,1,41.041,19.8562,2005,Albania,Visceral
6925,Literature,polygon,1,42.4022,19.6035,2009,Albania,Visceral
7544,Literature,polygon,1,41.41,19.52,2000,Albania,Visceral
6882,Literature,polygon,1,40.02,20.16,1998,Albania,Visceral
7633,Literature,polygon,1,39.9408,20.0966,2009,Albania,Visceral
7210,Literature,polygon,1,41.5754,20.0237,2002,Albania,Visceral
7752,Literature,polygon,1,41.041,19.8562,1995,Albania,Visceral
7315,Literature,polygon,1,39.9,19.96,1997,Albania,Visceral
7316,Literature,polygon,1,39.9,19.96,1998,Albania,Visceral
7214,Literature,polygon,1,41.5754,20.0237,2006,Albania,Visceral
7130,Literature,polygon,1,40.3005,20.3572,2002,Albania,Visceral
7281,Literature,polygon,1,40.8471,20.2528,2004,Albania,Visceral
7267,Literature,polygon,1,40.85,20.23,1997,Albania,Visceral
7170,Literature,polygon,1,41.7959,19.9837,2002,Albania,Visceral
7802,Literature,polygon,1,40.82,19.89,1998,Albania,Visceral
7269,Literature,polygon,1,40.85,20.23,1999,Albania,Visceral
7270,Literature,polygon,1,40.85,20.23,2000,Albania,Visceral
7597,Literature,polygon,1,40.55,19.76,2000,Albania,Visceral
6932,Literature,polygon,1,41.1518,20.4096,1996,Albania,Visceral
7273,Literature,polygon,1,40.8471,20.2528,1996,Albania,Visceral
7600,Literature,polygon,1,40.5409,19.7997,1996,Albania,Visceral
6894,Literature,polygon,1,40.1306,20.1567,2003,Albania,Visceral
6942,Literature,polygon,1,41.1518,20.4096,2006,Albania,Visceral
7618,Literature,polygon,1,39.98,20.06,2001,Albania,Visceral
7266,Literature,polygon,1,40.793,19.5222,2009,Albania,Visceral
7124,Literature,polygon,1,40.3005,20.3572,1996,Albania,Visceral
7490,Literature,polygon,1,40.6452,20.9549,2002,Albania,Visceral
7760,Literature,polygon,1,41.041,19.8562,2003,Albania,Visceral
6667,Literature,polygon,1,40.35,19.58,1997,Albania,Visceral
6983,Literature,polygon,1,42.085,19.9702,2007,Albania,Visceral
7034,Literature,polygon,1,41.7324,20.3764,2008,Albania,Visceral
7035,Literature,polygon,1,41.7324,20.3764,2009,Albania,Visceral
7089,Literature,polygon,1,42.0289,20.4172,2005,Albania,Visceral
7090,Literature,polygon,1,42.0289,20.4172,2006,Albania,Visceral
7091,Literature,polygon,1,42.0289,20.4172,2007,Albania,Visceral
6952,Literature,polygon,1,42.4012,20.021,1996,Albania,Visceral
7759,Literature,polygon,1,41.041,19.8562,2002,Albania,Visceral
7331,Literature,polygon,1,39.88,19.9964,2006,Albania,Visceral
7317,Literature,polygon,1,39.9,19.96,1999,Albania,Visceral
7213,Literature,polygon,1,41.5754,20.0237,2005,Albania,Visceral
6818,Literature,polygon,1,41.0504,20.1041,1996,Albania,Visceral
7371,Literature,polygon,1,40.9374,20.5813,2006,Albania,Visceral
6924,Literature,polygon,1,42.4022,19.6035,2008,Albania,Visceral
7596,Literature,polygon,1,40.55,19.76,1999,Albania,Visceral
7481,Literature,polygon,1,40.59,20.9,2000,Albania,Visceral
7470,Literature,polygon,1,41.7877,19.6461,2008,Albania,Visceral
7367,Literature,polygon,1,40.9374,20.5813,2002,Albania,Visceral
6817,Literature,polygon,1,41.0504,20.1041,1995,Albania,Visceral
7161,Literature,polygon,1,41.85,19.99,2000,Albania,Visceral
6530,Literature,polygon,1,40.689,20.5545,1995,Albania,Visceral
7092,Literature,polygon,1,42.0289,20.4172,2008,Albania,Visceral
7607,Literature,polygon,1,40.5409,19.7997,2003,Albania,Visceral
7332,Literature,polygon,1,39.88,19.9964,2007,Albania,Visceral
7123,Literature,polygon,1,40.3005,20.3572,1995,Albania,Visceral
